userid,timestamp,touch_event_type,touch_x,touch_y,direction,angle,TMS
151985,1400463429396,down,922.0,1357.0,,,
151985,1400463429523,move,921.0,1352.7538,5.0,193.25195118465658,0.034349318115958774
151985,1400463429544,move,921.0,1346.9329,5.0,180.0,0.2771857142857113
151985,1400463429553,move,921.0,1342.2382,5.0,180.0,0.5216333333333346
151985,1400463429569,move,921.0,1337.5997,5.0,180.0,0.28990625000000136
151985,1400463429587,move,921.0,1332.9546,5.0,180.0,0.2580611111111087
151985,1400463429604,move,921.0,1327.8378,5.0,180.0,0.30098823529411833
151985,1400463429737,move,929.1167,1282.5332,4.0,169.84273951870475,0.34605973577266674
151985,1400463429861,move,930.0,1196.5275,4.0,179.41157873530884,0.6936309333556702
151985,1400463429985,move,934.7651,1079.8793,4.0,177.66075769233672,0.9414958631236805
151985,1400463430112,move,951.13116,952.6883,4.0,172.6678629164772,1.009760734080477
151985,1400463430239,move,960.0,811.3452,4.0,176.4095751076972,1.1151265569113327
151985,1400463430363,move,949.3158,652.50006,5.0,183.84801763450062,1.2839036567623714
151985,1400463430485,move,928.0,445.2111,5.0,185.87116494264828,1.7080495410997167
151985,1400463430612,move,959.18085,317.7287,4.0,166.25589224265036,1.0333879301613422
151985,1400463430735,move,995.0,284.0,3.0,133.27833770234352,0.399999728205052
151985,1400463430737,up,995.0,284.0,,,
151985,1400463431474,down,866.0,1401.0,,,
151985,1400463431476,move,864.31134,1379.9813,5.0,184.5933252009634,10.543212535626932
151985,1400463431622,move,903.3922,833.8319,4.0,175.90705727844517,3.750314184240696
151985,1400463431755,move,999.0757,521.7351,4.0,162.95536309485556,2.4543977536257233
151985,1400463431883,move,1046.0,429.0,4.0,153.1604226948546,0.8119622883613175
151985,1400463431885,up,1046.0,429.0,,,
151985,1400463432583,down,951.0,426.0,,,
151985,1400463432586,move,928.9766,456.0643,8.0,323.7756109635308,12.422615049667378
151985,1400463432704,move,907.0,631.7583,8.0,352.87021545339593,1.5005350138359892
151985,1400463432824,move,885.96027,1015.59576,8.0,356.8625194379418,3.203447209406313
151985,1400463432950,move,901.0,1539.0,1.0,1.6459094950960471,4.155716464747965
151985,1400463432952,up,901.0,1539.0,,,
151985,1400463433666,down,934.0,642.0,,,
151985,1400463433668,move,929.2373,664.43225,8.0,348.0132505490029,11.466136569835738
151985,1400463433791,move,857.0,1261.4668,8.0,353.10111788644036,4.889339787646003
151985,1400463433905,move,873.0,1487.0,1.0,4.057935400835398,1.9833336107730442
151985,1400463433907,up,873.0,1487.0,,,
151985,1400463477787,down,203.0,1636.0,,,
151985,1400463477843,move,205.83315,1624.8895,4.0,165.69458130981872,0.20475061764230243
151985,1400463477859,move,208.73111,1610.6133,4.0,168.52530559649497,0.9104601742594248
151985,1400463478018,move,211.0,1497.2402,4.0,178.85351577696127,0.7131811378381696
151985,1400463478149,move,209.0,1446.7957,5.0,182.27044717278943,0.38537505316721854
151985,1400463478281,move,202.02798,1413.084,5.0,191.68478201250153,0.2607962418036123
151985,1400463478420,move,196.65627,1391.3125,5.0,193.85984103418224,0.1613265810427714
151985,1400463478553,move,189.33481,1369.6696,5.0,198.68988702154638,0.17178746512918322
151985,1400463478694,move,184.0,1352.4158,5.0,197.18141192037172,0.12808318451942438
151985,1400463478828,move,176.0,1340.0349,5.0,212.86878943065085,0.11000483109999001
151985,1400463478968,move,168.66368,1327.6637,5.0,210.66862066329026,0.10273509142112143
151985,1400463479137,move,154.18675,1312.1868,5.0,223.08796435550607,0.12539855384029772
151985,1400463479286,move,140.27406,1298.274,5.0,224.9997734977623,0.1320509575100151
151985,1400463479421,move,93.0,1288.0,6.0,257.7386629922461,0.3583525652707638
151985,1400463479424,up,93.0,1288.0,,,
151985,1400463480203,down,272.0,1680.0,,,
151985,1400463480329,move,273.3339,1622.6711,4.0,178.6671111276406,0.4551144139467138
151985,1400463480456,move,253.9622,1559.8866,5.0,197.147228965375,0.5173627545534366
151985,1400463480594,move,246.0,1532.1742,5.0,196.03017487474128,0.20893878533087937
151985,1400463480734,move,241.0,1517.6638,5.0,199.01294940901778,0.10962638502603919
151985,1400463480876,move,238.29381,1505.2938,5.0,192.34020340297457,0.08917294066231611
151985,1400463481004,move,237.0,1492.9214,5.0,185.96985220832704,0.09718644055771126
151985,1400463481148,move,234.0,1483.1814,5.0,197.1192621613544,0.07077462163728777
151985,1400463481281,move,228.16736,1482.0,6.0,258.54966344629446,0.04474498904121787
151985,1400463481401,move,224.0,1482.0,7.0,270.0,0.034728000000000016
151985,1400463481402,up,224.0,1482.0,,,
151985,1400463508889,down,277.0,1651.0,,,
151985,1400463509107,move,277.0,1641.3448,5.0,180.0,0.04428990825688038
151985,1400463509124,move,277.0,1635.5966,5.0,180.0,0.33812941176470573
151985,1400463509140,move,277.0,1627.1448,5.0,180.0,0.528237500000003
151985,1400463509159,move,277.0,1619.23,5.0,180.0,0.4165684210526323
151985,1400463509175,move,277.0,1611.789,5.0,180.0,0.46506250000000193
151985,1400463509321,move,277.0,1568.5184,5.0,180.0,0.2963739726027401
151985,1400463509455,move,274.13483,1538.2697,5.0,185.4109374133837,0.22674695573406853
151985,1400463509581,move,265.79453,1522.7946,5.0,208.32243275769574,0.13951995500481448
151985,1400463509710,move,261.0,1508.417,5.0,198.44210969997266,0.11748800477070907
151985,1400463509838,move,256.0,1493.5957,5.0,198.6419424335029,0.12220281775639318
151985,1400463509985,move,252.0,1476.675,5.0,193.30037205064494,0.11827936531781215
151985,1400463510110,move,249.0,1462.2998,5.0,191.78802388105098,0.11747922370598092
151985,1400463510237,move,246.0,1449.481,5.0,193.17194032914054,0.10366273566333056
151985,1400463510368,move,243.0,1437.1044,5.0,193.62529888665028,0.09721374122527066
151985,1400463510498,move,238.0,1424.7253,5.0,201.9941067657504,0.10269795916745175
151985,1400463510619,move,233.0,1409.9084,5.0,198.64709565373823,0.12923794697134325
151985,1400463510740,move,226.53075,1396.5308,5.0,205.8078644623166,0.12280763079261874
151985,1400463510883,move,217.0,1380.789,5.0,211.19248188972347,0.12868642789229348
151985,1400463511007,move,210.77917,1363.7792,5.0,200.08849451225498,0.14606172832514389
